Name;URL;Technology;Market;Region;Status;Timeline;Description
A5G;https://a5gnet.com;Network Operations & Optimization;Telecommunications;USA;Active;2021-Q1;A5G Networks, provides autonomous, distributed and hybrid cloud software for enabling 5G verticals. Founded by seasoned entrepreneurs who founded Parallel Wireless, A5G Networks is the industry’s first AI native telco infrastructure.
Aarna Networks;https://www.aarnanetworks.com;Edge Computing;EnterpriseTransformation;USA;Active;2020-Q3;Aarna Networks, provides an open source orchestration, lifecycle management, and control loop automation solution using 5G/edge app orchestration.
Accelercomm;https://www.accelercomm.com;Semiconductors;Telecommunications;Western Europe;Active;2021-Q1;AccelerComm, Access to leading telecoms technology is out of reach of most and has remained up to now a barrier to performance for many solution providers. AccelerComm is changing this with industry-beating digital comms IP that can be installed in semiconductor and software deployments by any equipment vendor or network operator.
Accuknox;https://www.accuknox.com/;Cyber Security;EnterpriseTransformation;USA;Active;2022-Q3;Accuknox, delivers Zero Trust Security for Cloud (Public and Private), IoT/Edge and 5G platforms. AccuKnox is a Core Contributor to CNCF Kubernetes Run-time Security Platform, KubeArmor.
Agolo;https://www.agolo.com;Artificial Intelligence, ML, NLP;EnterpriseTransformation;USA;Active;2021-Q1;Agolo, is the leading Natural Language Processing summarization platform for enterprise. Agolo’s AI engines analyze thousands of documents daily and generates human-readable summaries in real-time.
Aira Technologies;https://www.aira-technology.com/;Artificial Intelligence, ML, NLP;Smart Cities;USA;Active;2022-Q3;Aira Technologies, is building base station software that improves wireless performance by using proprietary ML models to process contextual information already present in the data flowing through mobile networks.
Airgap Networks;https://airgap.io/;Cyber Security;EnterpriseTransformation;USA;Active;2023-Q1;Airgap Network, offers agentless Zero Trust micro segmentation solution that can be implemented in less than an hour across IT, OT, and IoT environments.
Anylog;https://anylog.co/;Edge Computing;Smart Cities;USA;Active;2023-Q1;AnyLog, allows companies to extract true real-time insight from distributed Edge data by transforming the Edge to a Virtual Data Lake, enabling real-time processing and AI at the Edge without centralizing the data and without a single line of code.
Arcturus Studio;https://arcturus.studio/;AR VR XR;Media & Entertainment;USA;Active;2022-Q3;(Beverly Hills, CA) builds tools for next-generation content. The company’s HoloSuite is designed to edit, compress, and stream volumetrically recorded humans so producers can build immersive virtual and augmented reality experiences with live-action performances.
Arix-Technologies;https://arix-tech.com/index.html;Robotics;Energy & Utilities;USA;Active;2022-Q3;Arix Technologies (Houston, TX), provides robotic inspections and corrosion analytics to improve productivity, safety, accuracy, and data-driven insights for corrosion risk management.
Asimily;https://asimily.com/;Cyber Security;Healthcare;USA;Active;2023-Q1;Asimily’s IoMT risk remediation platform holistically secures mission-critical healthcare devices from cyberattacks for delivering safe and reliable care.
Atayalan;https://www.atayalan.com/;Network Operations & Optimization;EnterpriseTransformation;USA;Active;2022-Q3;Atayalan (Santa Clara, CA) is building a Network-as-a-Service (NaaS) platform that is service aware, device-aware and location optimized, integrating private 5G with an enterprise’s existing network and application infrastructure.
Attila Security;https://www.attilasec.com;Cyber Security;EnterpriseTransformation;USA;Active;2021-Q1;Attila Security is a leader in network security that meets National Security standards. With NIAP-certified solutions, Attila provides simple, trustworthy security to be able to secure networks, endpoints, global users and file sharing. 
Avesha;https://avesha.io/;Edge Computing;EnterpriseTransformation;USA;Active;2022-Q1;Avesha is a technology platform that enables application workloads to disaggregate across cloud, multi-cloud, and edge locations.
Blue White Robotics;https://bluewhiterobotics.com;Autonomous;Transportation & Logistics;Middle East;Active;2021-Q1;Blue White Robotics connects people with autonomous solutions for us in agriculture and transportation. Through our platform, we manage multiple fleets of air & ground vehicles efficiently, and safely for agriculture, urban mobility and first responders.
Bluebox Labs;http://bluebox.io/;Artificial Intelligence, ML, NLP;Transportation & Logistics;USA;Active;2020-Q3;Bluebox uses Co-pilot to offer an affordable software ecosystem for any car, providing security, convenience, and savings to the user
Brodmann17;https://brodmann17.com;Autonomous;Transportation & Logistics;Middle East;Active;2021-Q4;Brodmann17 develops AI that is revolutionizing safety in mobility. The company’s computer-vision-centered technology saves 95% of compute power. This huge saving in cost has brought AI for the very first time to new verticals including mass-market passenger vehicles, video telematics and micro mobility.
Clip Automation;https://clipautomation.com/;Edge Computing;Manufacturing;USA;Active;2022-Q1;Clip's provides a Smart Factory OS, with data and machine connectivity infrastructure for a unified digital factory experience.
Continual;https://continualexperience.com/;Autonomous;Transportation & Logistics;Middle East;Active;2021-Q1;Continual partners with OEMs and mobile operators to map, predict and provide analytics on the road network experience of connected and autonomous vehicles - drivers, passengers and commuters. 
Darwin AI;https://darwinai.com;Artificial Intelligence, ML, NLP;EnterpriseTransformation;Canada;Active;2021-Q4;DarwinAI helps enterprises build AI they can trust. Based on years of distinguished scholarship, the company’s patented explainability technology accelerates advanced computer vision applications for industrial use cases like quality inspection in manufacturing. 
